Прямоугольники|"Наивный"|Препроцессинг карты|На карте|Препроцессинг деревьев|На дереве отрезков
1|0.33151|0.003985|1.189|0.009|1.769
2|0.309|0.006|1.2546|0.03099|2.0689
4|0.97377|0.025|1.7756|0.063989|1.7812
8|1.7466|0.095002|2.1518|0.39454|3.5313
16|3.2102|0.551|2.7846|1.371|3.626
32|5.2731|1.128|2.8433|2.4559|3.4384
64|8.6941|0.77893|2.9009|3.3918|4.2364
128|15.879|2.004|3.4054|7.7178|5.0034
256|35.258|3.7536|3.9597|17.822|5.0359
512|65.012|11.509|4.189|40.278|6.3623
1024|132.52|33.668|5.1374|99.43|7.5551
